Class,Period,Time,Mon,Tue,Wed,Thu,Fri
1,1,08:30 – 09:15,,,,,
1,2,09:25 – 10:10,,,,,
1,3,10:20 – 11:05,,,,,
1,4,11:25 – 12:10,,,,,
1,5,12:20 – 13:05,,,,,
1,6,13:15 – 14:00,,,,,
1,7,14:10 – 14:55,,,,,
1,8,15:05 – 15:50,,,,,
2-А,1,08:30 – 09:15,,,,,
2-А,2,09:25 – 10:10,,,,,
2-А,3,10:20 – 11:05,,,,,
2-А,4,11:25 – 12:10,,,,,
2-А,5,12:20 – 13:05,,,,,
2-А,6,13:15 – 14:00,,,,,
2-А,7,14:10 – 14:55,,,,,
2-А,8,15:05 – 15:50,,,,,
2-Б,1,08:30 – 09:15,,,,,
2-Б,2,09:25 – 10:10,,,,,
2-Б,3,10:20 – 11:05,,,,,
2-Б,4,11:25 – 12:10,,,,,
2-Б,5,12:20 – 13:05,,,,,
2-Б,6,13:15 – 14:00,,,,,
2-Б,7,14:10 – 14:55,,,,,
2-Б,8,15:05 – 15:50,,,,,
3-А,1,08:30 – 09:15,,,,,
3-А,2,09:25 – 10:10,,,,,
3-А,3,10:20 – 11:05,,,,,
3-А,4,11:25 – 12:10,,,,,
3-А,5,12:20 – 13:05,,,,,
3-А,6,13:15 – 14:00,,,,,
3-А,7,14:10 – 14:55,,,,,
3-А,8,15:05 – 15:50,,,,,
3-Б,1,08:30 – 09:15,,,,,
3-Б,2,09:25 – 10:10,,,,,
3-Б,3,10:20 – 11:05,,,,,
3-Б,4,11:25 – 12:10,,,,,
3-Б,5,12:20 – 13:05,,,,,
3-Б,6,13:15 – 14:00,,,,,
3-Б,7,14:10 – 14:55,,,,,
3-Б,8,15:05 – 15:50,,,,,
4-А,1,08:30 – 09:15,,,,,
4-А,2,09:25 – 10:10,,,,,
4-А,3,10:20 – 11:05,,,,,
4-А,4,11:25 – 12:10,,,,,
4-А,5,12:20 – 13:05,,,,,
4-А,6,13:15 – 14:00,,,,,
4-А,7,14:10 – 14:55,,,,,
4-А,8,15:05 – 15:50,,,,,
4-Б,1,08:30 – 09:15,,,,,
4-Б,2,09:25 – 10:10,,,,,
4-Б,3,10:20 – 11:05,,,,,
4-Б,4,11:25 – 12:10,,,,,
4-Б,5,12:20 – 13:05,,,,,
4-Б,6,13:15 – 14:00,,,,,
4-Б,7,14:10 – 14:55,,,,,
4-Б,8,15:05 – 15:50,,,,,
5-А,1,08:30 – 09:15,,,,,
5-А,2,09:25 – 10:10,,,,,
5-А,3,10:20 – 11:05,,,,,
5-А,4,11:25 – 12:10,,,,,
5-А,5,12:20 – 13:05,,,,,
5-А,6,13:15 – 14:00,,,,,
5-А,7,14:10 – 14:55,,,,,
5-А,8,15:05 – 15:50,,,,,
5-Б,1,08:30 – 09:15,,,,,
5-Б,2,09:25 – 10:10,,,,,
5-Б,3,10:20 – 11:05,,,,,
5-Б,4,11:25 – 12:10,,,,,
5-Б,5,12:20 – 13:05,,,,,
5-Б,6,13:15 – 14:00,,,,,
5-Б,7,14:10 – 14:55,,,,,
5-Б,8,15:05 – 15:50,,,,,
5-В,1,08:30 – 09:15,,,,,
5-В,2,09:25 – 10:10,,,,,
5-В,3,10:20 – 11:05,,,,,
5-В,4,11:25 – 12:10,,,,,
5-В,5,12:20 – 13:05,,,,,
5-В,6,13:15 – 14:00,,,,,
5-В,7,14:10 – 14:55,,,,,
5-В,8,15:05 – 15:50,,,,,
6-А,1,08:30 – 09:15,,,,,
6-А,2,09:25 – 10:10,,,,,
6-А,3,10:20 – 11:05,,,,,
6-А,4,11:25 – 12:10,,,,,
6-А,5,12:20 – 13:05,,,,,
6-А,6,13:15 – 14:00,,,,,
6-А,7,14:10 – 14:55,,,,,
6-А,8,15:05 – 15:50,,,,,
6-Б,1,08:30 – 09:15,,,,,
6-Б,2,09:25 – 10:10,,,,,
6-Б,3,10:20 – 11:05,,,,,
6-Б,4,11:25 – 12:10,,,,,
6-Б,5,12:20 – 13:05,,,,,
6-Б,6,13:15 – 14:00,,,,,
6-Б,7,14:10 – 14:55,,,,,
6-Б,8,15:05 – 15:50,,,,,
6-В,1,08:30 – 09:15,,,,,
6-В,2,09:25 – 10:10,,,,,
6-В,3,10:20 – 11:05,,,,,
6-В,4,11:25 – 12:10,,,,,
6-В,5,12:20 – 13:05,,,,,
6-В,6,13:15 – 14:00,,,,,
6-В,7,14:10 – 14:55,,,,,
6-В,8,15:05 – 15:50,,,,,
6-Г,1,08:30 – 09:15,,,,,
6-Г,2,09:25 – 10:10,,,,,
6-Г,3,10:20 – 11:05,,,,,
6-Г,4,11:25 – 12:10,,,,,
6-Г,5,12:20 – 13:05,,,,,
6-Г,6,13:15 – 14:00,,,,,
6-Г,7,14:10 – 14:55,,,,,
6-Г,8,15:05 – 15:50,,,,,
7-А,1,08:30 – 09:15,,,,,
7-А,2,09:25 – 10:10,,,,,
7-А,3,10:20 – 11:05,,,,,
7-А,4,11:25 – 12:10,,,,,
7-А,5,12:20 – 13:05,,,,,
7-А,6,13:15 – 14:00,,,,,
7-А,7,14:10 – 14:55,,,,,
7-А,8,15:05 – 15:50,,,,,
7-Б,1,08:30 – 09:15,,,,,
7-Б,2,09:25 – 10:10,,,,,
7-Б,3,10:20 – 11:05,,,,,
7-Б,4,11:25 – 12:10,,,,,
7-Б,5,12:20 – 13:05,,,,,
7-Б,6,13:15 – 14:00,,,,,
7-Б,7,14:10 – 14:55,,,,,
7-Б,8,15:05 – 15:50,,,,,
7-В,1,08:30 – 09:15,,,,,
7-В,2,09:25 – 10:10,,,,,
7-В,3,10:20 – 11:05,,,,,
7-В,4,11:25 – 12:10,,,,,
7-В,5,12:20 – 13:05,,,,,
7-В,6,13:15 – 14:00,,,,,
7-В,7,14:10 – 14:55,,,,,
7-В,8,15:05 – 15:50,,,,,
8-А,1,08:30 – 09:15,,,,,
8-А,2,09:25 – 10:10,,,,,
8-А,3,10:20 – 11:05,,,,,
8-А,4,11:25 – 12:10,,,,,
8-А,5,12:20 – 13:05,,,,,
8-А,6,13:15 – 14:00,,,,,
8-А,7,14:10 – 14:55,,,,,
8-А,8,15:05 – 15:50,,,,,
8-Б,1,08:30 – 09:15,,,,,
8-Б,2,09:25 – 10:10,,,,,
8-Б,3,10:20 – 11:05,,,,,
8-Б,4,11:25 – 12:10,,,,,
8-Б,5,12:20 – 13:05,,,,,
8-Б,6,13:15 – 14:00,,,,,
8-Б,7,14:10 – 14:55,,,,,
8-Б,8,15:05 – 15:50,,,,,
8-В,1,08:30 – 09:15,,,,,
8-В,2,09:25 – 10:10,,,,,
8-В,3,10:20 – 11:05,,,,,
8-В,4,11:25 – 12:10,,,,,
